Hospital Name,State,District
A.M. Hospital,Kerala,Ernakulam
A.P.Varkey Mission Hospital,Kerala,Ernakulam
Aditya Eye Hospital,Kerala,Ernakulam
Alexander Eye Centre,Kerala,Ernakulam
Alpha Ent Head And Neck Research Institute And Hospital,Kerala,Ernakulam
Alphonsa Hospital,Kerala,Ernakulam
Bharath Rural Hospital & Training Centre,Kerala,Ernakulam
Bishop Alapatt Mission Hospital,Kerala,Ernakulam
Carmel Hospital,Kerala,Ernakulam
Chaitanya Ent Hospital,Kerala,Ernakulam
Chaitanya Eye Hospital & Research Instt,Kerala,Ernakulam
Chaithanya Eye Hospital & Research Institute,Kerala,Ernakulam
City Hospital Pvt Ltd,Kerala,Ernakulam
Ernakulam Hospital,Kerala,Ernakulam
Deva Matha Hospital,Kerala,Ernakulam
Dr. Kunhalu'S Nursing Home,Kerala,Ernakulam
Giridhar Eye Institute,Kerala,Ernakulam
Goutham Hospital,Kerala,Ernakulam
Hail Mary Hospital,Kerala,Ernakulam
Jesus Hospital,Kerala,Ernakulam
Jishy Hospital,Kerala,Ernakulam
K.M.K.Hospital,Kerala,Ernakulam
K.P.M Eye Hospital & Laser Centre,Kerala,Ernakulam
Kims Hospital & Surgical Centre,Kerala,Ernakulam
Krishna Hospital,Kerala,Ernakulam
Lakshmi Nursing Home,Kerala,Ernakulam
Laxmi Hospital,Kerala,Ernakulam
Little Flower Hospital & Research Centre,Kerala,Ernakulam
M.A.J.Hospital,Kerala,Ernakulam
Malabar Diabetes Foundation And Research Centre,Kerala,Ernakulam
Malankara Orthodox Syrian Church Medical College Hospital,Kerala,Ernakulam
Medical Trust Hospital,Kerala,Ernakulam
Medicare Hospital,Kerala,Ernakulam
Muvattupuzha Medical Centre,Kerala,Ernakulam
Navabharath Medical Centre,Kerala,Ernakulam
P.S. Mission Hospital,Kerala,Ernakulam
P.V.S. Memorial Hospital Ltd.,Kerala,Ernakulam
Ranjini Eye Care,Kerala,Ernakulam
Rcm Hi-Tech Multi Speciality Hosptial Rcm Eye Hospital,Kerala,Ernakulam
Roahan Eye Care Hospital,Kerala,Ernakulam
Samaritan Hospital,Kerala,Ernakulam
Sangeetha Nursing Home,Kerala,Ernakulam
Saraf Hospital,Kerala,Ernakulam
Specialist Hospital,Kerala,Ernakulam
Sree Narayana Institute Of Medical Sciences,Kerala,Ernakulam
Sree Sudhendra Medical Mission Hosp.,Kerala,Ernakulam
St.Joseph'S Hospital Trust,Kerala,Ernakulam
Thaqdees Hospitals Ltd,Kerala,Ernakulam
Thrikkakara Grama Panchayath Co-Operative Hospital Ltd,Kerala,Ernakulam
Varsha Nursing Home,Kerala,Ernakulam
Vasan Eye Care Hospital,Kerala,Ernakulam
Vasan Eye Care Hospital,Kerala,Ernakulam
Vatheyayath Hospital,Kerala,Ernakulam
Vijaya Kumara Menon Hospital,Kerala,Ernakulam
Vimala Hospital,Kerala,Ernakulam
West Side Hospital Pvt Ltd,Kerala,Ernakulam
Westend Eye Hospitals,Kerala,Ernakulam
