SL NO,Labs,District
1,"DDRC SRL Diagnostics Pvt Ltd, Panampilly Nagar, Ernakulam",Ernakulam
2,"Medivision Scan & Diagnostic Research Centre Pvt Ltd, Sreekandath Road, Kochi",Ernakulam
3,"Neuberg Diagnostics Private Limited, Thombra Arcade, Ernakulam",Ernakulam
4,"Lab Services of Amrita Institute of Medical Sciences & Research Centre, AIMSPonekkara, Kochi",Ernakulam
5,"Amrita Institute of Medical Science, Kochi",Ernakulam
6,"Aster Medcity, Aster DM Healthcare Ltd, Kutty Sahib Road, Kothad, Cochin",Ernakulam
7,"Rajagiri Hospital Laboratory Services, Rajagiri Hospital, Chunangamvely, Aluva",Ernakulam
8,"Lakeshore Hospital & Research Centre Ltd, NH-66, Bypass Ernakulam",Ernakulam
9,"Lal Path Labs, Ernakulam",Ernakulam
10,"El Lab Metropolis, North Paramara Road, Opp Town Hall, Cochin (P)",Ernakulam
11,"Lisie Hospital, a unit of Lisie Medical Institution, Kaloor, Kochi (P)",Ernakulam
12,"Lourdes Hospital, Ernakulam",Ernakulam
13,"Lakshmi Hospital, Diwans Road, Ernakulam",Ernakulam
14,ASTER KOCHI,Ernakulam
15,"Lakeshore Hospital, Ernakulam",Ernakulam
16,AIMS Kochi,Ernakulam
17,Rajagiri Hospital Aluva,Ernakulam
18,"DDRC, Kochi",Ernakulam
19,"Vijaya Kumara Menon Hospital, Ernakulam",Ernakulam
20,"Medical Trust Hospital, Ernakulam",Ernakulam
21,"Polakulath Narayanan Renai Medicity, Kochi",Ernakulam
22,"CIMAR Cochin Hospitals, Ernakulam",Ernakulam
23,Sree Sudheendra Medical Mission Ernakulam,Ernakulam
24,"Alpha ENT head&neck Research Institute, Ernakulam",Ernakulam
25,Mar Baselios Medical Mission Hospital Kothamangalam,Ernakulam
