SL NO,Labs,District
1,DDRC SRL Diagnostics Pvt Ltd,Ernakulam
2,Medivision Scan & Diagnostic Research Centre Pvt Ltd,Ernakulam
3,Neuberg Diagnostics Private Limited,Ernakulam
4,Lab Services of Amrita Institute of Medical Sciences & Research Centre,Ernakulam
5,Amrita Institute of Medical Science,Ernakulam
6,Aster Medcity,Ernakulam
7,Rajagiri Hospital Laboratory Services,Ernakulam
8,Lakeshore Hospital & Research Centre Ltd,Ernakulam
9,Lal Path Labs,Ernakulam
10,El Lab Metropolis,Ernakulam
11,Lisie Hospital,Ernakulam
12,Lourdes Hospital,Ernakulam
13,Lakshmi Hospital,Ernakulam
14,ASTER KOCHI,Ernakulam
15,Lakeshore Hospital,Ernakulam
16,AIMS Kochi,Ernakulam
17,Rajagiri Hospital Aluva,Ernakulam
18,DDRC,Ernakulam
19,Vijaya Kumara Menon Hospital,Ernakulam
20,Medical Trust Hospital,Ernakulam
21,Polakulath Narayanan Renai Medicity,Ernakulam
22,CIMAR Cochin Hospitals,Ernakulam
23,Sree Sudheendra Medical Mission Ernakulam,Ernakulam
24,Alpha ENT head&neck Research Institute,Ernakulam
25,Mar Baselios Medical Mission Hospital Kothamangalam,Ernakulam
