SL NO,Labs,District
1,DDRC SRL Diagnostics Pvt Ltd,Ernakulam
2,Medivision Scan & Diagnostic Research Centre Pvt Ltd,Ernakulam
3,Neuberg Diagnostics Private Limited,Ernakulam
4,Lab Services of Amrita Institute of Medical Sciences & Research Centre,Ernakulam
5,Amrita Institute of Medical Science,Ernakulam
6,Aster Medcity,Ernakulam
7,Rajagiri Hospital Laboratory Services,Ernakulam
8,Lakeshore Hospital & Research Centre Ltd,Ernakulam
9,Lal Path Labs,Ernakulam
10,El Lab Metropolis,Ernakulam
11,Lisie Hospital,Ernakulam
12,Lourdes Hospital,Ernakulam
13,Lakshmi Hospital,Ernakulam
14,ASTER KOCHI,Ernakulam
15,Lakeshore Hospital,Ernakulam
16,AIMS Kochi,Ernakulam
17,Rajagiri Hospital Aluva,Ernakulam
18,DDRC,Ernakulam
19,Vijaya Kumara Menon Hospital,Ernakulam
20,Medical Trust Hospital,Ernakulam
21,Polakulath Narayanan Renai Medicity,Ernakulam
22,CIMAR Cochin Hospitals,Ernakulam
23,Sree Sudheendra Medical Mission Ernakulam,Ernakulam
24,Alpha ENT head&neck Research Institute,Ernakulam
25,Mar Baselios Medical Mission Hospital Kothamangalam,Ernakulam
26,Little Flower Hospital & Research Centre,Ernakulam
27,St Joseph Hospital,Ernakulam
28,Sabine Hospital & Research Centre Pvt Ltd,Ernakulam
29,Microlab Speciality Health Care Services,Ernakulam
30,E.S.I.C. Hospital,Ernakulam
31,Samaritan Hospital,Ernakulam
32,Sanjoe Hospital,Ernakulam
33,St Joseph hospital trust,Ernakulam
34,Lisie Hospital,Ernakulam
35,Carmel Hospital,Ernakulam
36,P S Mission Hospital Maradu,Ernakulam
37,MAGJ,Ernakulam
38,Sunrise Hospital,Ernakulam
39,Kinder Multispeciality Hospital,Ernakulam
40,Indira Gandhi Co-operative Hospital ,Ernakulam
41,Nirmala Medical Centre,Ernakulam
42,Specialists Hospital,Ernakulam
43,Neuberg Diagnostics,Ernakulam
44,Vivid Diagnostic Centre,Ernakulam
45,Sree Narayana Institute of medical sciences,Ernakulam
46,Devi Hospital Pvt Ltd,Ernakulam
47,Sreekantapuram Hospital,Ernakulam
48,V S M Hospital,Ernakulam
49,M A J Hospital,Ernakulam
50,Don Bosco Hospital,Ernakulam
51,MOSC Medical College Hospital,Ernakulam
52,Doctor's Diagnostic Centre Pvt Ltd,Ernakulam
53,EI Lab Metropolis,Ernakulam
54,Akshaya Hospital,Ernakulam
55,AP Varkey Mission Hospital,Ernakulam
56,Ernaklam Medical Centre Hospital (P) Ltd,Ernakulam
57,Dr. Lal PathLabs Ltd. Opp College Ground M.G. Road Ernakulam Cochin,Ernakulam
58,B and B Memorial Hospital,Ernakulam
59,Gautham Hospital,Ernakulam
60,Lakshmi Hospital,Ernakulam
61,Thrikkakara Municipal Cooperative Hospital Society Ltd No.E-993,Ernakulam
62,Medical Trust Hospital,Ernakulam
63,Karothukuzhi Hospital,Ernakulam
64,Krishna Hospital,Ernakulam
65,Ernakulam Medical Centre Hospital (P) Ltd,Ernakulam
66,Meditech Diagnostic Centre,Ernakulam
67,Vimala Hospital,Ernakulam
68,Muvattupuzha Co-operative Super Speciality Hospital,Ernakulam
69,Sangeeth Hospital,Ernakulam
